from,to,cost
439_1_334,439_1_334,0.0
439_1_334,439_2_333,969.2121358335356
439_1_334,439_3_332,1851.7279646790182
439_1_334,438_1_331,2796.338621189102
439_1_334,438_3_329,4551.1126910381445
439_1_334,356_1_309,12837.328159104038
439_1_334,356_2_308,13919.849831795122
439_1_334,355_1_156,15003.235000806279
439_1_334,355_2_153,15397.595734974002
439_1_334,355_3_155,15973.145136031324
439_1_334,354_1_79,16631.794532093063
439_1_334,354_2_144,17190.447820366804
439_1_334,354_3_145,17716.39848292736
439_1_334,34_1_94,18608.455259924853
439_1_334,49_2_12,21666.63155555732
439_1_334,49_3_15,22095.220910701977
439_1_334,58_2_17,22506.28231007152
439_1_334,59_1_18,23064.559150584733
439_1_334,59_2_18,23634.940995085755
439_1_334,72_2_28,25327.139888642454
439_1_334,72_1_22,25351.688478607564
439_1_334,89_1_28,26016.61661199159
439_1_334,89_2_30,26409.180983307066
439_1_334,97_1_33,26727.283512241676
439_1_334,97_2_33,27098.72544007044
439_1_334,97_3_38,27681.53049665885
439_2_333,439_1_334,969.2121358335356
439_2_333,439_2_333,0.0
439_2_333,439_3_332,882.9688718986937
439_2_333,438_1_331,1827.5460338579392
439_2_333,438_3_329,3581.9276952809373
439_2_333,356_1_309,11900.19202249496
439_2_333,356_2_308,12988.63642096949
439_2_333,355_1_156,14077.235503832191
439_2_333,355_2_153,14473.330371457185
439_2_333,355_3_155,15051.415640536263
439_2_333,354_1_79,15712.84311139374
439_2_333,354_2_144,16273.671972556172
439_2_333,354_3_145,16801.5592000226
439_2_333,34_1_94,17696.751514492236
439_2_333,49_2_12,20763.990029705303
439_2_333,49_3_15,21193.74992720066
439_2_333,58_2_17,21605.812771286644
439_2_333,59_1_18,22165.39708940147
439_2_333,59_2_18,22737.089900402712
439_2_333,72_2_28,24432.864437458233
439_2_333,72_1_22,24457.421704033553
439_2_333,89_1_28,25123.65036144994
439_2_333,89_2_30,25516.950287381285
439_2_333,97_1_33,25835.370047254273
439_2_333,97_2_33,26205.876764892702
439_2_333,97_3_38,26785.355015487552
439_3_332,439_1_334,1851.7279646790182
439_3_332,439_2_333,882.9688718986937
439_3_332,439_3_332,0.0
439_3_332,438_1_331,944.6302665019339
439_3_332,438_3_329,2699.711633546491
439_3_332,356_1_309,11041.003101427288
439_3_332,356_2_308,12134.345474919395
439_3_332,355_1_156,13227.22232708986
439_3_332,355_2_153,13624.731135848318
439_3_332,355_3_155,14204.886819670004
439_3_332,354_1_79,14868.577143285405
439_3_332,354_2_144,15431.16807135176
439_3_332,354_3_145,15960.618012122584
439_3_332,34_1_94,16858.335146513702
439_3_332,49_2_12,19932.800014477936
439_3_332,49_3_15,20363.49228554471
439_3_332,58_2_17,20776.344425485757
439_3_332,59_1_18,21336.957072423822
439_3_332,59_2_18,21909.681665803775
439_3_332,72_2_28,23608.259093742825
439_3_332,72_1_22,23632.819410671575
439_3_332,89_1_28,24300.064657757026
439_3_332,89_2_30,24693.938202067377
439_3_332,97_1_33,25012.580212553705
439_3_332,97_2_33,25382.209189096182
439_3_332,97_3_38,25958.702949620336
438_1_331,439_1_334,2796.338621189102
438_1_331,439_2_333,1827.5460338579392
438_1_331,439_3_332,944.6302665019339
438_1_331,438_1_331,0.0
438_1_331,438_3_329,1755.8398883050245
438_1_331,356_1_309,10130.219673495578
438_1_331,356_2_308,11229.498608035823
438_1_331,355_1_156,12327.412664145633
438_1_331,355_2_153,12726.55757632401
438_1_331,355_3_155,13309.10111021051
438_1_331,354_1_79,13975.378490884625
438_1_331,354_2_144,14539.959650464521
438_1_331,354_3_145,15071.159918640422
438_1_331,34_1_94,15971.685756656301
438_1_331,49_2_12,19054.023960937913
438_1_331,49_3_15,19485.724589925212
438_1_331,58_2_17,19899.41781015623
438_1_331,59_1_18,20461.122067544453
438_1_331,59_2_18,21034.941636543732
438_1_331,72_2_28,22736.471991619466
438_1_331,72_1_22,22761.03039638919
438_1_331,89_1_28,23429.340686247466
438_1_331,89_2_30,23823.81289997689
438_1_331,97_1_33,24142.652618881468
438_1_331,97_2_33,24511.163784573502
438_1_331,97_3_38,25084.003373959913
438_3_329,439_1_334,4551.1126910381445
438_3_329,439_2_333,3581.9276952809373
438_3_329,439_3_332,2699.711633546491
